title,author,link,image
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
"
				HiYEAST, pinipigil ang sakit ng mga naaning prutas at gulay ",DOST-PCAARRD,www.pcaarrd.dost.gov.ph/home/portal/index.php/quick-information-dispatch/2893-hiyeast-pinipigil-ang-sakit-ng-mga-naaning-prutas-at-gulay,www.pcaarrd.dost.gov.ph/home/portal/images/stories/2016/img022017_HiYEAST.jpg
"
				DOST-PCAARRD offers thesis and dissertation assistance for graduate students",DOST-PCAARRD,www.pcaarrd.dost.gov.ph/home/portal/index.php/quick-information-dispatch/2892-dost-pcaarrd-offers-thesis-and-dissertation-assistance-for-graduate-students,www.pcaarrd.dost.gov.ph/home/portal/images/stories/2016/img031417_thesisIDD.png
"
				Effectively managing pigs from farm to slaughterhouse",DOST-PCAARRD,www.pcaarrd.dost.gov.ph/home/portal/index.php/quick-information-dispatch/2891-effectively-managing-pigs-from-farm-to-slaughterhouse,www.pcaarrd.dost.gov.ph/home/portal/images/stories/2016/img031417_pigsystem.png
"
				“Learning Watersheds” established for conservation concerns ",DOST-PCAARRD,www.pcaarrd.dost.gov.ph/home/portal/index.php/quick-information-dispatch/2890-learning-watersheds-established-for-conservation-concerns,www.pcaarrd.dost.gov.ph/home/portal/images/stories/2016/img031317_pagsanjanlumbanMAP.jpg
"
				Balik Scientist keen on encouraging the youth to pursue AANR-related courses ",DOST-PCAARRD,www.pcaarrd.dost.gov.ph/home/portal/index.php/quick-information-dispatch/2889-balik-scientist-keen-on-encouraging-the-youth-to-pursue-aanr-related-courses,www.pcaarrd.dost.gov.ph/home/portal/images/stories/2016/img031417_balikscientist.png
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
,DOST-PCAARRD,,
